Baker Name,Baker Age,Baker Occupation,Hometown,Episode,Series.x,Signature Bake,Show Stopper,result,Baker,Series.y,series,episode,technical
Louise Williams,46,Hairdresser,Cardiff,1,1,Carrot and Orange Cake,"Never Fail Chocolate Sponge Cake,with Fresh Fruit, White & Chocolate Cigarello Border",NA,Louise,7,7,3,NA
Louise Williams,46,Hairdresser,Cardiff,1,1,Carrot and Orange Cake,"Never Fail Chocolate Sponge Cake,with Fresh Fruit, White & Chocolate Cigarello Border",NA,Louise,7,7,4,NA
Louise Williams,46,Hairdresser,Cardiff,1,1,Carrot and Orange Cake,"Never Fail Chocolate Sponge Cake,with Fresh Fruit, White & Chocolate Cigarello Border",NA,Louise,7,7,5,NA
Louise Williams,46,Hairdresser,Cardiff,1,1,Carrot and Orange Cake,"Never Fail Chocolate Sponge Cake,with Fresh Fruit, White & Chocolate Cigarello Border",NA,Louise,7,7,6,NA
Louise Williams,46,Hairdresser,Cardiff,1,1,Carrot and Orange Cake,"Never Fail Chocolate Sponge Cake,with Fresh Fruit, White & Chocolate Cigarello Border",NA,Louise,7,7,7,NA
Louise Williams,46,Hairdresser,Cardiff,1,1,Carrot and Orange Cake,"Never Fail Chocolate Sponge Cake,with Fresh Fruit, White & Chocolate Cigarello Border",NA,Louise,7,7,8,NA
Louise Williams,46,Hairdresser,Cardiff,1,1,Carrot and Orange Cake,"Never Fail Chocolate Sponge Cake,with Fresh Fruit, White & Chocolate Cigarello Border",NA,Louise,7,7,9,NA
Louise Williams,46,Hairdresser,Cardiff,1,1,Carrot and Orange Cake,"Never Fail Chocolate Sponge Cake,with Fresh Fruit, White & Chocolate Cigarello Border",NA,Louise,7,7,10,NA
Mark Onley,37,Carpenter and Kitchen Fitter,Milton Keynes,1,1,Sticky Marmalade Tea Loaf,Heart-shaped Chocolate and Beetroot Cake with Store-Bought silver chocolate hearts and chocolate red and white roses.,OUT,Mark,4,1,1,NA
Mark Onley,37,Carpenter and Kitchen Fitter,Milton Keynes,1,1,Sticky Marmalade Tea Loaf,Heart-shaped Chocolate and Beetroot Cake with Store-Bought silver chocolate hearts and chocolate red and white roses.,NA,Mark,4,1,2,NA
Mark Onley,37,Carpenter and Kitchen Fitter,Milton Keynes,1,1,Sticky Marmalade Tea Loaf,Heart-shaped Chocolate and Beetroot Cake with Store-Bought silver chocolate hearts and chocolate red and white roses.,NA,Mark,4,1,3,NA
Mark Onley,37,Carpenter and Kitchen Fitter,Milton Keynes,1,1,Sticky Marmalade Tea Loaf,Heart-shaped Chocolate and Beetroot Cake with Store-Bought silver chocolate hearts and chocolate red and white roses.,NA,Mark,4,1,4,NA
Mark Onley,37,Carpenter and Kitchen Fitter,Milton Keynes,1,1,Sticky Marmalade Tea Loaf,Heart-shaped Chocolate and Beetroot Cake with Store-Bought silver chocolate hearts and chocolate red and white roses.,NA,Mark,4,1,5,NA
Mark Onley,37,Carpenter and Kitchen Fitter,Milton Keynes,1,1,Sticky Marmalade Tea Loaf,Heart-shaped Chocolate and Beetroot Cake with Store-Bought silver chocolate hearts and chocolate red and white roses.,NA,Mark,4,1,6,NA
Mark Onley,37,Carpenter and Kitchen Fitter,Milton Keynes,1,1,Sticky Marmalade Tea Loaf,Heart-shaped Chocolate and Beetroot Cake with Store-Bought silver chocolate hearts and chocolate red and white roses.,IN,Mark,4,4,1,5
Mark Onley,37,Carpenter and Kitchen Fitter,Milton Keynes,1,1,Sticky Marmalade Tea Loaf,Heart-shaped Chocolate and Beetroot Cake with Store-Bought silver chocolate hearts and chocolate red and white roses.,IN,Mark,4,4,2,6
